asin,brand,product_name,category,map_price,tag
B0FZMTKC6S,Yeti,"YETI Yonder Helimix Vortex Blender Shaker Bottle Holds up to 27oz | No Blending Ball or Whisk | USA Made | Portable Pre Workout Whey Protein Drink Shaker Cup | Dishwasher Safe, Charcoal",Shaker Bottles,25,Shaker Bottles
B073WJMKHN,Yeti,"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Black",Tumbler,35,Tumbler
B0CJSN3P3P,Yeti,"YETI Rambler Bottle Straw Cap, Fits 18/26/36/46/64 oz Bottles",Accessories,15,Accessories
B07FM5HLMF,Yeti,"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Navy",Tumbler,35,Tumbler
B07233837H,Yeti,"YETI Rambler Bottle Chug Cap, nylon, Fits 18/26/36/46/64 OZ Bottles, Dishwasher Safe",Accessories,15,Accessories
B073WK182F,Yeti,"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Stainless",Tumbler,35,Tumbler
B0FZN217LX,Yeti,"YETI Yonder Helimix Vortex Blender Shaker Bottle Holds up to 27oz | No Blending Ball or Whisk | USA Made | Portable Pre Workout Whey Protein Drink Shaker Cup | Dishwasher Safe, Navy",Shaker Bottles,25,Shaker Bottles
B0FZMXBNFH,Yeti,"YETI Yonder Helimix Vortex Blender Shaker Bottle Holds up to 20oz | No Blending Ball or Whisk | USA Made | Portable Pre Workout Whey Protein Drink Shaker Cup | Dishwasher Safe, Charcoal",Shaker Bottles,22,Shaker Bottles
B0014C0LSY,Crocs,"Crocs Unisex-Adult Classic Clogs, Black, 9 Women/7 Men",Clogs,49.99,Clogs
B0014BYHJE,Crocs,"Crocs Unisex-Adult Classic Clogs, Black, 11 Men/13 Women",Clogs,49.99,Clogs
B0014C2NBC,Crocs,"Crocs unisex adult Men's and Women's Classic (Neutral Colors) Clog, Black, 8 Women 6 Men US",Clogs,49.99,Clogs
B0014C0LUC,Crocs,"Crocs Unisex-Adult Classic Clogs, Black, 8 Men/10 Women",Clogs,49.99,Clogs
B0014C2NKS,Crocs,"Crocs Unisex-Adult Classic Clogs, Black, 12 Men/14 Women",Clogs,49.99,Clogs
B0014BYHA8,Crocs,"Crocs Unisex-Adult Classic Clogs, Black, 5 Men/7 Women",Clogs,49.99,Clogs
B0014BYHNK,Crocs,"Crocs Unisex-Adult Classic Clogs, Black, 13 Men/15 Women",Clogs,49.99,Clogs
B0FZMXFFZJ,Yeti,"YETI Yonder Helimix Vortex Blender Shaker Bottle Holds up to 27oz | No Blending Ball or Whisk | USA Made | Portable Pre Workout Whey Protein Drink Shaker Cup | Dishwasher Safe, Rescue Red",,25.00 ,Shaker Bottles
B08D9T8YPG,Yeti,Yeti Rambler MagSlider,,10.00 ,Accessories
B0FZMY2DVT,Yeti,"YETI Yonder Helimix Vortex Blender Shaker Bottle Holds up to 27oz | No Blending Ball or Whisk | USA Made | Portable Pre Workout Whey Protein Drink Shaker Cup | Dishwasher Safe, Clear",,25.00 ,Shaker Bottles
B0842S56G8,Yeti,"YETI Rambler 26 oz Bottle, Vacuum Insulated, Stainless Steel with Chug Cap, Black",,40.00 ,Bottle
B0FN4T8H98,Yeti,"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Moon Dust",,35.00 ,Tumbler
